Committee,Reporting Period,Report Type,Date Paid,Entity Name,First Name,Middle Initial,Last Name,Addr Line1,City,State,Zip,Zip4,Amount,Expenditure Type,Purpose,Candidate Issue,Election Type,Expenditure Platform,Expenditure Quantity,Expenditure Specific Services,Attachment,# of Donors - Individuals,Total $ - Individual,# of Donors - Committees,Total $ - Committee,Expenditure Paid Communications Platform,Expenditure Paid Communications Quantity,Expenditure Paid Communications Subject Matter,Matched Candidate,Matched District,Matched Party,Matched Race
AMERICANS FOR PROSPERITY - MONTANA,02/06/2026 to 03/25/2026,C4,2026-03-01 00:00:00,AMERICANS FOR PROSPERITY,,,,4201 WILSON BLVD STE 1000,ARLINGTON,VA,22203.0,,260.09,3.0,Canvassing,STEVE LAPRAIM (SD-42),PM,DOORKNOCKING,3/1/26-3/15/26,DOORKNOCKING,N,,,,,,,,STEPHEN LAPRAIM,SENATE DISTRICT 42,REP,STATE SENATOR DISTRICT 42
AMERICANS FOR PROSPERITY - MONTANA,02/06/2026 to 03/25/2026,C4,2026-02-16 00:00:00,Canvass America,,,,45 N HILL DR STE 100,WARRENTON,VA,20186.0,,820.0,3.0,Canvassing,STEVE LAPRAIM (SD-42),PM,DOORKNOCKING,2/16/26-3/25/26,DOORKNOCKING,N,,,,,,,,STEPHEN LAPRAIM,SENATE DISTRICT 42,REP,STATE SENATOR DISTRICT 42
AMERICANS FOR PROSPERITY - MONTANA,02/06/2026 to 03/25/2026,C4,2026-02-16 00:00:00,AMERICANS FOR PROSPERITY,,,,4201 WILSON BLVD STE 1000,ARLINGTON,VA,22203.0,,565.76,3.0,Canvassing,STEVE LAPRAIM (SD-42),PM,DOORKNOCKING,2/16/26-2/28/26,DOORKNOCKING,N,,,,,,,,STEPHEN LAPRAIM,SENATE DISTRICT 42,REP,STATE SENATOR DISTRICT 42
AMERICANS FOR PROSPERITY - MONTANA,02/06/2026 to 03/25/2026,C4,2026-02-19 00:00:00,IN PURSUIT OF,,,,4201 WILSON BLVD STE 900,ARLINGTON,VA,22203.0,,9350.0,3.0,Digital Advertising,STEVE LAPRAIM (SD-42),PM,"FACEBOOK, INSTAGRAM, CTV & DSP",2/19/26-6/2/26,DIGITAL AD PLACEMENT,N,,,,,,,,STEPHEN LAPRAIM,SENATE DISTRICT 42,REP,STATE SENATOR DISTRICT 42
AMERICANS FOR PROSPERITY - MONTANA,02/06/2026 to 03/25/2026,C4,2026-02-19 00:00:00,TARGETED VICTORY,,,,2311 WILSON BLVD STE 200,ARLINGTON,VA,22201.0,,4000.0,3.0,Digital Advertising,STEVE LAPRAIM (SD-42),PM,,2/19/26-6/2/26,DIGITAL AD PRODUCTION,N,,,,,,,,STEPHEN LAPRAIM,SENATE DISTRICT 42,REP,STATE SENATOR DISTRICT 42
AMERICANS FOR PROSPERITY - MONTANA,02/06/2026 to 03/25/2026,C4,2026-02-16 00:00:00,FCG MAIL LLC,,,,558 E CASTLE PINES PKWY STE B-4 BOX 333,CASTLE PINES,CO,80108.0,,2434.2,3.0,DOORHANGER,STEVE LAPRAIM (SD-42),PM,,"4,000","DOORHANGER DESIGN, PRINTING & PRODUCTION",N,,,,,,,,STEPHEN LAPRAIM,SENATE DISTRICT 42,REP,STATE SENATOR DISTRICT 42
AMERICANS FOR PROSPERITY - MONTANA,02/06/2026 to 03/25/2026,C4,2026-02-08 00:00:00,META PLATFORMS INC,,,,1 META WAY,MENLO PARK,CA,94025.0,,201.98,3.0,Digital Advertising,STEVE LAPRAIM (SD-42),PM,FACEBOOK,2/8/26-2/19/26,DIGITAL AD PLACEMENT,N,,,,,,,,STEPHEN LAPRAIM,SENATE DISTRICT 42,REP,STATE SENATOR DISTRICT 42
School Freedom Fund,04/26/2026 to 05/24/2026,C6,2026-05-05 00:00:00,Whistlestop Strategies LLC,,,,100 Coastal Drive,Charleston,SC,29492,,3281.0,3,Mail production/postage,Support Steve LaPraim,PM,Mail,4066,mail production/postage,N,,,,,,,,STEPHEN LAPRAIM,SENATE DISTRICT 42,REP,STATE SENATOR DISTRICT 42
School Freedom Fund,04/26/2026 to 05/24/2026,C6,2026-05-07 00:00:00,SFF Buying LLC,,,,"3900 Teleport Blvd, #140053",Irving,TX,75014,,3626.53,3,Radio Advertising,Support Steve LaPraim,PM,Radio,,radio advertising,N,,,,,,,,STEPHEN LAPRAIM,SENATE DISTRICT 42,REP,STATE SENATOR DISTRICT 42
School Freedom Fund,04/26/2026 to 05/24/2026,C6,2026-05-19 00:00:00,Darby House LLC,,,,"4201 Wilson Blvd, Suite 110-126",Arlington,VA,22203,,2500.0,3,Digital Ad Production,Support Steve LaPraim,PM,digital,,digital ad production,N,,,,,,,,STEPHEN LAPRAIM,SENATE DISTRICT 42,REP,STATE SENATOR DISTRICT 42
